"category","internationalTitle","localTitle","isNewEntry","isPromoted","openingHours","holiday","price","maxPrice","minPrice","address","url","telephone","properties","rating","ammenityScore","ammenityDescription","latitude","longitude","mapUri"
"French","Infusion","アンフュージョン","False","False","Lunch = 11:30-13:40 (L.O.)Dinner = 17:30-20:40 (L.O.)","Closed Monday (unless Public Holiday, then Tuesday)","Lunch = ¥2,500-5,000Dinner = ¥4,500-8,500","8500","2500","1F, N&K's Park Bldg, 1-29-1 Sakurashinmachi, Setagaya-ku, Tokyo","http://www.infusion.jp/","03-5758-5405","Completely no smoking area, Reservation required, Open Sunday, Interesting wine list","Bib Gourmand","2","Comfortable","35.62866762","139.6438801","https://maps.google.com/maps?q=35.62866762%2C139.6438801%281F%2C%20N%26K%27s%20Park%20Bldg%2C%201-29-1%20Sakurashinmachi%2C%20Setagaya-ku%2C%20Tokyo%29&ll=35.62866762%2c139.6438801&hl=en"
"Dojo","Dozeu Iidaya","どぜう 飯田屋","False","False","Lunch/Dinner = 11:30-21:30 L.O.21:00","Closed Wednesday","Lunch/Dinner = ¥2,000-8,000","8000","2000","3-3-2 Nishiasakusa, Taito-ku,Tokyo","null","03-3843-0881","Shoes must be removed, Completely no smoking area, Private room with maximum capacity 30, Reservation required, Open Sunday","Bib Gourmand","1","Quiet comfortable","35.71404211068487","139.79158462392525","https://maps.google.com/maps?q=35.71404211068487%2C139.79158462392525%283-3-2%20Nishiasakusa%2C%20Taito-ku%2CTokyo%29&ll=35.71404211068487%2c139.79158462392525&hl=en"
"Italian","Icaro","イカロ","False","False","Dinner = 18:00-1:00Saturday & Public Holidays 17:30-24:00","Closed Sunday","Dinner = ¥7,000-9,000","9000","7000","4F, Coms Nakameguro, 2-44-24 Kamimeguro, Meguro-ku, Tokyo","http://r.10pre.jp/icaromiyamoto","03-5724-8085","Completely no smoking area, Reservation required, Late dining, Interesting wine list","one star","1","Quiet comfortable","35.641929000000000","139.696938000000000","https://maps.google.com/maps?q=35.641929000000000%2C139.696938000000000%284F%2C%20Coms%20Nakameguro%2C%202-44-24%20Kamimeguro%2C%20Meguro-ku%2C%20Tokyo%29&ll=35.641929000000000%2c139.696938000000000&hl=en"
"Japanese","Kagurazaka Ishikawa","神楽坂 石かわ","False","False","Dinner = 17:30-24:00 L.O.22:00","Closed Sunday and Public Holidays","Dinner = ¥28,000","28000","28000","5-37 Kagurazaka, Shinjuku-ku, Tokyo","http://www.kagurazaka-ishikawa.co.jp/","03-5225-0173","Completely no smoking area, Private room with maximum capacity 6, Reservation required, Late dining, Interesting wine list, Interesting sake list","three stars","2.5","Comfortable (more pleasant if in red)","35.701185000000000","139.739477000000000","https://maps.google.com/maps?q=35.701185000000000%2C139.739477000000000%285-37%20Kagurazaka%2C%20Shinjuku-ku%2C%20Tokyo%29&ll=35.701185000000000%2c139.739477000000000&hl=en"
"Unagi","Ishibashi","石ばし","False","False","Lunch = 11:30-13:30 (L.O.)Saturday 11:30-14:00 (L.O.)Dinner = 18:00-19:30 (L.O.)Saturday 17:30-20:00 (L.O.)","Closed Sunday, Monday and Public Holidays","Lunch = ¥6,500-17,000Dinner = ¥6,500-22,000","22000","6500","2-4-29 Suido, Bunkyo-ku, Tokyo","http://www.unagi-ishibashi.com/","03-3813-8038","Cash only, Shoes must be removed, No smoking area, Private room with maximum capacity 20, Reservation required","one star","2","Comfortable","35.709274000000000","139.738519000000000","https://maps.google.com/maps?q=35.709274000000000%2C139.738519000000000%282-4-29%20Suido%2C%20Bunkyo-ku%2C%20Tokyo%29&ll=35.709274000000000%2c139.738519000000000&hl=en"
"Sukiyaki","Ishibashi","いし橋","False","False","Dinner = 17:00-21:30 L.O.19:30","Closed Saturday, Sunday and Public Holidays","Dinner = ¥11,000-13,000","13000","11000","3-6-8 Sotokanda, Chiyoda-ku, Tokyo","null","03-3251-3580","Cash only, Shoes must be removed, Private room with maximum capacity 30, Reservation required","one star","3","Very comfortable","35.702830000000000","139.769906000000000","https://maps.google.com/maps?q=35.702830000000000%2C139.769906000000000%283-6-8%20Sotokanda%2C%20Chiyoda-ku%2C%20Tokyo%29&ll=35.702830000000000%2c139.769906000000000&hl=en"
"Ramen","Menya Ishin","麺や維新","False","False","Lunch = 11:30-15:00Dinner = 18:00-22:00","Closed Sunday","Lunch = Under ¥1,500Dinner = Under ¥1,500","1500","1500","1F, Sanrion Bldg, 3-4-1 Kamiosaki, Shinagawa-ku, Tokyo","null","03-3444-8480","Lunch and/or dinner for ¥1,500 and less, Cash only, Completely no smoking area, Counter restaurant, Reservation not accepted","Bib Gourmand","0","Simple","35.63422287","139.7187439","https://maps.google.com/maps?q=35.63422287%2C139.7187439%281F%2C%20Sanrion%20Bldg%2C%203-4-1%20Kamiosaki%2C%20Shinagawa-ku%2C%20Tokyo%29&ll=35.63422287%2c139.7187439&hl=en"
"Japanese","Ichi","いち","False","False","Dinner = 18:00-23:30 or when the day’s stock runs out","Closed Sunday and Public Holidays","Dinner = ¥7,500-15,000","15000","7500","1F, Shimizu Bldg, 7-10-30 Roppongi, Minato-ku, Tokyo","null","03-3402-9424","Completely no smoking area, Reservation required, Late dining","one star","2","Comfortable","35.664272000000000","139.728689000000000","https://maps.google.com/maps?q=35.664272000000000%2C139.728689000000000%281F%2C%20Shimizu%20Bldg%2C%207-10-30%20Roppongi%2C%20Minato-ku%2C%20Tokyo%29&ll=35.664272000000000%2c139.728689000000000&hl=en"
"Sushi","Ichikawa","いちかわ","False","False","Lunch = Sunday 12:00 (L.O.)Dinner = 18:00-22:30","Closed Wednesday","Lunch = ¥33,000Dinner = ¥33,000","33000","33000","1F, OJ House, 2-10-13 Minamiazabu, Minato-ku, Tokyo","https://pocket-concierge.jp/ja/restaurants/243776","None","Completely no smoking area, Counter restaurant, Reservation required, Open Sunday","one star","2","Comfortable","35.647974","139.735879","https://maps.google.com/maps?q=35.647974%2C139.735879%281F%2C%20OJ%20House%2C%202-10-13%20Minamiazabu%2C%20Minato-ku%2C%20Tokyo%29&ll=35.647974%2c139.735879&hl=en"
"Oden","Azabu Ichigo","あざぶ 一期","False","False","Dinner = 17:30-23:30 L.O.22:30","Closed Monday and 1st & 3rd Sunday of the month","Dinner = ¥10,000-19,000","19000","10000","B1F, My-Corner Bldg, 2-5-14 Azabujuban, Minato-ku, Tokyo","http://www.azabu-ichigo.com/","03-5772-2936","Shoes must be removed, Completely no smoking area, Counter restaurant, Reservation required, Late dining","one star","2","Comfortable","35.656483000000000","139.733230000000000","https://maps.google.com/maps?q=35.656483000000000%2C139.733230000000000%28B1F%2C%20My-Corner%20Bldg%2C%202-5-14%20Azabujuban%2C%20Minato-ku%2C%20Tokyo%29&ll=35.656483000000000%2c139.733230000000000&hl=en"
"Japanese","Ginza Ichigo","銀座 一期","False","False","Dinner = 17:30-20:00 (L.O.)","Closed Sunday and Public Holidays","Dinner = ¥27,000-42,000","42000","27000","3F, Juno Ginza Seiwa Bldg, 8-7-7 Ginza, Chuo-ku, Tokyo","http://www.ginza-ichigo.com/","03-3573-2015","Completely no smoking area, Private room with maximum capacity 5, Counter restaurant, Reservation required","one star","2.5","Comfortable (more pleasant if in red)","35.66835952","139.761174","https://maps.google.com/maps?q=35.66835952%2C139.761174%283F%2C%20Juno%20Ginza%20Seiwa%20Bldg%2C%208-7-7%20Ginza%2C%20Chuo-ku%2C%20Tokyo%29&ll=35.66835952%2c139.761174&hl=en"
"Japanese","Kaiseki Ichimonji","懐石 一文字","False","False","Lunch = 12:00-14:00 (L.O.)Dinner = 18:00-21:00 (L.O.)","null","Lunch = ¥10,000-20,000Dinner = ¥15,000-24,000","24000","10000","3-6 Kagurazaka, Shinjuku-ku, Tokyo","null","03-5206-8223","Shoes must be removed, Completely no smoking area, Private room with maximum capacity 14, Counter restaurant, Reservation required, Open Sunday","one star","2.5","Comfortable (more pleasant if in red)","35.701235000000000","139.739879000000000","https://maps.google.com/maps?q=35.701235000000000%2C139.739879000000000%283-6%20Kagurazaka%2C%20Shinjuku-ku%2C%20Tokyo%29&ll=35.701235000000000%2c139.739879000000000&hl=en"
"Sushi","Sushi Isshin","鮨 一新","False","False","Dinner = 18:00-22:00 (L.O.)","Closed Sunday and Public Holidays","Dinner = ¥6,500-17,000","17000","6500","4-11-3 Asakusa, Taito-ku, Tokyo","null","03-5603-1108","Cash only, Completely no smoking area, Counter restaurant, Reservation required, Late dining","one star","1","Quiet comfortable","35.718268000000000","139.796450000000000","https://maps.google.com/maps?q=35.718268000000000%2C139.796450000000000%284-11-3%20Asakusa%2C%20Taito-ku%2C%20Tokyo%29&ll=35.718268000000000%2c139.796450000000000&hl=en"
"Soba","Ittoan","一東菴","False","False","Lunch = 11:45-14:30 L.O.14:00 or when the day’s stock runs outPublic Holidays 12:00-15:30 L.O.15:00 or when the day’s stock runs outDinner = Thursday-Saturday 18:00-21:00 L.O.20:00 or when the day’s stock runs out","Closed Sunday and Monday","Lunch = ¥1,000-5,000Dinner = ¥1,000-5,000","5000","1000","2-16-10 Higashijujo, Kita-ku, Tokyo","null","03-6903-3833","Lunch and/or dinner for ¥1,500 and less, Cash only, Completely no smoking area, Private room with maximum capacity 8","Bib Gourmand","1","Quiet comfortable","35.76311477","139.7288914","https://maps.google.com/maps?q=35.76311477%2C139.7288914%282-16-10%20Higashijujo%2C%20Kita-ku%2C%20Tokyo%29&ll=35.76311477%2c139.7288914&hl=en"
"Fugu","Izumi","い津み","False","False","Dinner = 17:00-22:00","Closed Sunday and Public Holidays","Dinner = ¥25,000-35,000","35000","25000","6-11-11 Akasaka, Minato-ku, Tokyo","null","03-3582-0101","Shoes must be removed, Private room with maximum capacity 12, Reservation required","one star","3","Very comfortable","35.669765000000000","139.734689000000000","https://maps.google.com/maps?q=35.669765000000000%2C139.734689000000000%286-11-11%20Akasaka%2C%20Minato-ku%2C%20Tokyo%29&ll=35.669765000000000%2c139.734689000000000&hl=en"
"Shojin","Itosho","いと正","False","False","Lunch = 12:00-15:00 L.O.13:00Dinner = 17:30-21:30 L.O.19:30","null","Lunch = ¥7,500Dinner = ¥10,000-12,000","12000","7500","3-4-7 Azabujuban, Minato-ku, Tokyo","null","03-3454-6538","Cash only, Shoes must be removed, Private room with maximum capacity 25, Reservation required, Open Sunday","one star","2","Comfortable","35.653314000000000","139.735842000000000","https://maps.google.com/maps?q=35.653314000000000%2C139.735842000000000%283-4-7%20Azabujuban%2C%20Minato-ku%2C%20Tokyo%29&ll=35.653314000000000%2c139.735842000000000&hl=en"
"Italian","Trattoria I'Bischero","トラットリア イ・ビスケロ","False","False","Dinner = 18:00-21:30 (L.O.)Sunday & Public Holidays 18:00-20:30 (L.O.)","Closed Monday, and 2nd & last Sunday of the month","Dinner = ¥4,000-6,000","6000","4000","2F, Luminous Kiba Koen, 5-11-2 Toyo, Koto-ku, Tokyo","http://www.ibischero.com/","03-5635-5077","Completely no smoking area, Reservation required","Bib Gourmand","2","Comfortable","35.67317555","139.810684","https://maps.google.com/maps?q=35.67317555%2C139.810684%282F%2C%20Luminous%20Kiba%20Koen%2C%205-11-2%20Toyo%2C%20Koto-ku%2C%20Tokyo%29&ll=35.67317555%2c139.810684&hl=en"
"Sukiyaki","Imafuku","今福","False","False","Dinner = 17:00-24:00","null","Dinner = ¥10,000-15,000","15000","10000","1-12-19 Shirokane, Minato-ku, Tokyo","http://www.kuroge-wagyu.com/if","050-2018-0982","Completely no smoking area, Private room with maximum capacity 6, Reservation required, Open Sunday, Late dining","one star","2","Comfortable","35.64537602364506","139.73411515459634","https://maps.google.com/maps?q=35.64537602364506%2C139.73411515459634%281-12-19%20Shirokane%2C%20Minato-ku%2C%20Tokyo%29&ll=35.64537602364506%2c139.73411515459634&hl=en"
"Soba","Kyo Chiso Iwafune","蕎・馳走 岩舟","False","False","Lunch = 12:00-15:00 L.O.14:30Dinner = 18:00-22:00 L.O.21:30","Closed Sunday, Public Holidays and 1st, 3rd & 5th Saturday of the month","Lunch = Under ¥1,500Dinner = ¥1,500-3,000","3000","1500","3-53-9 Minamiotsuka, Toshima-ku, Tokyo","http://soba-iwafune.jp/","03-3987-9266","Lunch and/or dinner for ¥1,500 and less, Cash only, Completely no smoking area","Bib Gourmand","1","Quiet comfortable","35.73072671","139.7286308","https://maps.google.com/maps?q=35.73072671%2C139.7286308%283-53-9%20Minamiotsuka%2C%20Toshima-ku%2C%20Tokyo%29&ll=35.73072671%2c139.7286308&hl=en"
"Japanese","Yotsuya Uemura","四谷 うえ村","False","False","Dinner = 18:00-21:00 (L.O.)","Closed Sunday and Public Holidays","Dinner = ¥15,000-18,000","18000","15000","1F, Neomoto Bldg, 8-1 Arakicho, Shinjuku-ku, Tokyo","null","03-5363-1046","Completely no smoking area, Counter restaurant, Reservation required","one star","1","Quiet comfortable","35.689553000000000","139.721973000000000","https://maps.google.com/maps?q=35.689553000000000%2C139.721973000000000%281F%2C%20Neomoto%20Bldg%2C%208-1%20Arakicho%2C%20Shinjuku-ku%2C%20Tokyo%29&ll=35.689553000000000%2c139.721973000000000&hl=en"
"Fugu","Usukifugu Yamadaya","臼杵ふぐ 山田屋","False","False","Dinner = 18:00-24:00 L.O.22:30","Closed Sunday and Public Holidays","Dinner = ¥20,000-40,000","40000","20000","B1F, Fleg Nishi Azabu Vierge, 4-11-14 Nishiazabu, Minato-ku, Tokyo","http://www.azabu-yamadaya.jp/","03-3499-5501","No smoking area, Private room with maximum capacity 13, Reservation required, Late dining, Interesting wine list","three stars","3.5","Very comfortable (more pleasant if in red)","35.658213007209660","139.722695055225360","https://maps.google.com/maps?q=35.658213007209660%2C139.722695055225360%28B1F%2C%20Fleg%20Nishi%20Azabu%20Vierge%2C%204-11-14%20Nishiazabu%2C%20Minato-ku%2C%20Tokyo%29&ll=35.658213007209660%2c139.722695055225360&hl=en"
"Izakaya","Uchida","うち田","False","False","Dinner = 17:30-1:00 L.O.24:00Saturday & Public Holidays 17:00-0:30 L.O.23:30","Closed Sunday and Public Holiday Mondays","Dinner = ¥5,000-8,000","8000","5000","1F, Sadan Ota Bldg, 4-28-6 Taishido, Setagaya-ku, Tokyo","null","03-5430-3711","Cash only, Reservation required, Late dining","Bib Gourmand","0","Simple","35.64599473","139.6697825","https://maps.google.com/maps?q=35.64599473%2C139.6697825%281F%2C%20Sadan%20Ota%20Bldg%2C%204-28-6%20Taishido%2C%20Setagaya-ku%2C%20Tokyo%29&ll=35.64599473%2c139.6697825&hl=en"
"Tempura","Tentempura Uchitsu","天てんぷら うち津","False","False","Dinner = 18:00-23:00 L.O.21:00","null","Dinner = ¥25,000","25000","25000","1F, Takara Bldg, 5-25-4 Hiroo, Shibuya-ku, Tokyo","http://www.tempura-uchitsu.com/","03-6408-9591","Completely no smoking area, Counter restaurant, Reservation required, Open Sunday","two stars","1.5","Quiet comfortable (more pleasant if in red)","35.64790663","139.7211453","https://maps.google.com/maps?q=35.64790663%2C139.7211453%281F%2C%20Takara%20Bldg%2C%205-25-4%20Hiroo%2C%20Shibuya-ku%2C%20Tokyo%29&ll=35.64790663%2c139.7211453&hl=en"
"Sushi","Umi","海味","False","False","Dinner = 18:00-24:00","Closed Sunday and Public Holidays","Dinner = ¥23,000-27,000","27000","23000","3-2-8 Minamiaoyama, Minato-ku, Tokyo","null","03-3401-3368","Completely no smoking area, Counter restaurant, Reservation required, Late dining","two stars","1","Quiet comfortable","35.667676000000000","139.717815000000000","https://maps.google.com/maps?q=35.667676000000000%2C139.717815000000000%283-2-8%20Minamiaoyama%2C%20Minato-ku%2C%20Tokyo%29&ll=35.667676000000000%2c139.717815000000000&hl=en"
"French","Esquisse","エスキス","False","False","Lunch = 12:00-13:00 (L.O.)Dinner = 18:00-20:30 (L.O.) except Sunday & Public Holiday Mondays","null","Lunch = ¥13,000-22,000Dinner = ¥25,000-31,000","31000","13000","9F, Royal Crystal Ginza, 5-4-6 Ginza, Chuo-ku, Tokyo","http://www.esquissetokyo.com/","03-5537-5580","Completely no smoking area, Private room with maximum capacity 12, Reservation required, Open Sunday, Interesting wine list","two stars","3","Very comfortable","35.671670000000000","139.763351000000000","https://maps.google.com/maps?q=35.671670000000000%2C139.763351000000000%289F%2C%20Royal%20Crystal%20Ginza%2C%205-4-6%20Ginza%2C%20Chuo-ku%2C%20Tokyo%29&ll=35.671670000000000%2c139.763351000000000&hl=en"
"French","Édition Koji Shimomura","エディション・コウジ シモムラ","False","False","Lunch = 12:00-15:30 L.O.13:30Dinner = 18:00-23:30 L.O.21:00","null","Lunch = ¥7,500-24,000Dinner = ¥18,000-24,000","24000","7500","1F, Roppongi T-Cube, 3-1-1 Roppongi, Minato-ku, Tokyo","http://www.koji-shimomura.jp/","03-5549-4562","Completely no smoking area, Private room with maximum capacity 8, Reservation required, Open Sunday, Interesting wine list","two stars","3","Very comfortable","35.665580000000000","139.738152000000000","https://maps.google.com/maps?q=35.665580000000000%2C139.738152000000000%281F%2C%20Roppongi%20T-Cube%2C%203-1-1%20Roppongi%2C%20Minato-ku%2C%20Tokyo%29&ll=35.665580000000000%2c139.738152000000000&hl=en"
"Tonkatsu","Tonkatsu Enraku","とんかつ 燕楽","False","False","Lunch = 11:00-14:30 (L.O.) or when the day’s stock runs outDinner = 17:00-21:00 (L.O.) or when the day’s stock runs out","Closed Sunday and Monday","Lunch = ¥1,000-2,500Dinner = ¥1,500-2,500","2500","1000","6-1-4 Ikegami, Ota-ku, Tokyo","null","03-3754-8243","Lunch and/or dinner for ¥1,500 and less, Cash only, Counter restaurant, Reservation not accepted","Bib Gourmand","0","Simple","35.57294663","139.704234","https://maps.google.com/maps?q=35.57294663%2C139.704234%286-1-4%20Ikegami%2C%20Ota-ku%2C%20Tokyo%29&ll=35.57294663%2c139.704234&hl=en"
"Tempura","Tempura Otsuka","天ぷら 大塚","False","False","Lunch = Tuesday-Friday 11:30-13:00 (L.O.) or when the day’s stock runs outDinner = 18:00-21:00 or when the day’s stock runs outSaturday 17:30-20:30 or when the day’s stock runs out","Closed Sunday, Monday and Public Holidays","Lunch = ¥1,500-4,500Dinner = ¥5,000-7,000","7000","1500","2-12-11 Iriya, Taito-ku, Tokyo","null","03-3873-8826","Cash only, Completely no smoking area, Counter restaurant, Reservation required","Bib Gourmand","1","Quiet comfortable","35.719715","139.789306","https://maps.google.com/maps?q=35.719715%2C139.789306%282-12-11%20Iriya%2C%20Taito-ku%2C%20Tokyo%29&ll=35.719715%2c139.789306&hl=en"
"Japanese","Kaiseki Ohara","懐石 大原","False","False","Lunch = Wednesday & Saturday 12:00-15:00 L.O.13:00Dinner = 18:00-22:30 L.O.20:00","Closed Sunday and Public Holidays","Lunch = ¥8,500-12,000Dinner = ¥12,000-18,000","18000","8500","2F, Nakabayashi Bldg, 1 Arakicho, Shinjuku-ku, Tokyo","null","03-6380-5223","Completely no smoking area, Reservation required","one star","1","Quiet comfortable","35.689047000000000","139.721852000000000","https://maps.google.com/maps?q=35.689047000000000%2C139.721852000000000%282F%2C%20Nakabayashi%20Bldg%2C%201%20Arakicho%2C%20Shinjuku-ku%2C%20Tokyo%29&ll=35.689047000000000%2c139.721852000000000&hl=en"
"Spanish","Ogasawara Hakushakutei","小笠原伯爵邸","False","False","Lunch = 11:30-15:00 L.O.13:00Dinner = 18:00-23:00 L.O.20:00","null","Lunch = ¥8,500Dinner = ¥12,000-18,000","18000","8500","10-10 Kawadacho, Shinjuku-ku, Tokyo","http://www.ogasawaratei.com/","03-3359-5830","No smoking area, Car park, Private room with maximum capacity 28, Reservation required, Open Sunday, Interesting wine list","one star","4.5","Top class comfort (more pleasant if in red)","35.698545000000000","139.717587000000000","https://maps.google.com/maps?q=35.698545000000000%2C139.717587000000000%2810-10%20Kawadacho%2C%20Shinjuku-ku%2C%20Tokyo%29&ll=35.698545000000000%2c139.717587000000000&hl=en"
"Japanese","Okamoto","おかもと","False","False","Lunch = Tuesday, Thursday & Saturday 12:00 (L.O.)Dinner = 18:00-23:00 L.O.21:00","null","Lunch = ¥6,500-36,000Dinner = ¥28,000-36,000","36000","6500","B1F, Succeed Toranomon, 5-2-8 Toranomon, Minato-ku, Tokyo","null","03-6432-0414","Cash only, Completely no smoking area, Private room with maximum capacity 5, Counter restaurant, Reservation required, Open Sunday","two stars","2","Comfortable","35.6626817","139.7444189","https://maps.google.com/maps?q=35.6626817%2C139.7444189%28B1F%2C%20Succeed%20Toranomon%2C%205-2-8%20Toranomon%2C%20Minato-ku%2C%20Tokyo%29&ll=35.6626817%2c139.7444189&hl=en"
"Yakitori","Yakitori Ogawa","焼鳥 おがわ","False","False","Dinner = 17:00-23:30 L.O.22:30","Closed Monday","Dinner = ¥4,000-6,000","6000","4000","1F, Wind Arakicho, 9-1 Arakicho, Shinjuku-ku, Tokyo","null","03-5315-4630","Completely no smoking area, Counter restaurant, Reservation required, Open Sunday, Late dining","Bib Gourmand","1","Quiet comfortable","35.68965541","139.7221944","https://maps.google.com/maps?q=35.68965541%2C139.7221944%281F%2C%20Wind%20Arakicho%2C%209-1%20Arakicho%2C%20Shinjuku-ku%2C%20Tokyo%29&ll=35.68965541%2c139.7221944&hl=en"
